Units,words,mean_cn,sentence,sentence_tra
Unit6,household,n.同住在一家的人；家务；家常普通的 adj. 家庭的，家内的，一家的,I perform all my household cleaning on Sunday.,我每周日要在家里大扫除。
Unit6,sponsor,n. 倡导者;  提案人;  赞助人;  担保人;  vt. 发起;  倡议;  做…的保人;  赞助;  资助;  ,This young woman's company sponsored her so she could go to university.,这个年轻女孩的公司赞助了她上大学。
Unit6,association,"n. 结合;  伙伴, 关系;  协会, 联盟;  联想;  ",Our association has many members with different skills.,我们的协会里有很多拥有不同技能的成员。
Unit6,survey,"n. 调查;  测量;  审视;  vi. 测量, 勘测, 测绘;  vt. 测量, 勘测;  俯视;  ",The company does a survey to collect users' opinions.,这家公司做了一项调查，去收集用户的意见。
Unit6,typical,adj.典型的，代表性的 ,It's typical for Asian people to like rice.,亚洲人喜欢米饭是很典型的。
Unit6,secondary,adj.次要的；第二的；中学的,"He took the silver medal, which is secondary in importance.",他取得了第二重要的银牌。
Unit6,handle,n.柄，把手v.处理，解决；操纵,Turn the handle to open the door. ,转动把手来开门。
Unit6,invest,v. 投资,"I had a lot of money in the bank, so I decided to invest in a house.",我在银行里有一大笔钱，所以我决定要投资房产。
Unit5,hesitate,v.犹豫，踌躇；含糊，支吾,"I hesitated by the signpost, wondering which way to go.",我在这个路标前犹豫不决，想知道到底该走哪条路。
Unit5,guy,n. 男人; 家伙,He is a tough guy.,他是一个硬汉。
Unit5,hurt,v.使受伤；使痛心,The pretty girl hurt her leg while running.,这个美女跑步的时候伤到了她的腿。
Unit5,purchase,v. 购买；努力取得n. 购买,"I would like to purchase this shirt, please. ",我要买这件衣服，谢谢。
Unit5,persuade,v.说服，劝说；(of)使相信,The salesman persuaded us to buy a car. ,这个销售员在说服我们俩买辆车。
Unit5,checkout,n.收款台；结账,You can pay for your items at the checkout counter.,你可以在收款台那里付钱。
Unit5,on the other hand,另一方面；反过来说,"I could go left. On the other hand, I could also go right.",我可以走左边，另一方面，我也可以走右边。
Unit5,bully,n. 恃强欺弱者 v. 威吓，欺负,The school bully is always giving other kids a hard time.,学校里的恃强欺弱者总是让其他小孩不好过。
Unit5,regret,"n. 懊悔;  vt. 懊悔, 后悔;  抱歉;  ",I really regret not finishing school.,我好后悔没有完成学业。
Unit5,tease,n. 逗弄;  爱戏弄别人者;  vi. 戏弄;  vt. 取笑;  挑逗;  强求;  ,All the kids at school teased him for being different.,在学校有的孩子都因为他的与众不同而取笑他。
